   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 873,              ,                ,               ,     12756,        2604,       5505,              ,                ,               ,    14399,       7774,      9022
 874,              ,                ,               ,     11821,        2677,       5632,              ,                ,               ,    14437,       7773,      9295
 875,              ,                ,               ,     12304,        2626,       5190,              ,                ,               ,    14447,       7809,      8489
 876,              ,                ,               ,     12497,        2643,       6258,              ,                ,               ,    14478,       7825,     10640
 877,              ,                ,               ,     12676,        2620,       5231,              ,                ,               ,    14465,       7795,      8962
 878,              ,                ,               ,     12968,        2613,       7686,              ,                ,               ,    14488,       7816,     10296
 879,              ,                ,               ,     13110,        2635,       6157,              ,                ,               ,    14514,       7829,      8922
 880,              ,                ,               ,     11908,        2683,       5092,              ,                ,               ,    14510,       7827,      8636
 881,              ,                ,               ,     13175,        2652,       6026,              ,                ,               ,    14568,       7856,      9472
 882,              ,                ,               ,     13616,        2628,       5817,              ,                ,               ,    14581,       7861,      8642
 883,              ,                ,               ,     13049,        2600,       5324,              ,                ,               ,    14603,       7875,      8880
 884,              ,                ,               ,     12517,        2652,       5272,              ,                ,               ,    14593,       7855,      8630
 885,              ,                ,               ,     13073,        2619,       5446,              ,                ,               ,    14618,       7872,      9222
 886,              ,                ,               ,     12687,        2683,       5192,              ,                ,               ,    14658,       7907,      8697
 887,              ,                ,               ,     12599,        2698,       6066,              ,                ,               ,    14692,       7914,      9057
 888,              ,                ,               ,     12973,        2675,       5972,              ,                ,               ,    14707,       7936,     10666
 889,              ,                ,               ,     12669,        2686,       5732,              ,                ,               ,    14715,       7946,     11101
 890,              ,                ,               ,     12883,        2701,       6313,              ,                ,               ,    14747,       7958,      8966
 891,              ,                ,               ,     13203,        2661,       5343,              ,                ,               ,    14738,       7944,      9364
 892,              ,                ,               ,     12620,        2697,       6477,              ,                ,               ,    14761,       7956,      9405
 893,              ,                ,               ,     14024,        2675,       6210,              ,                ,               ,    14793,       7978,      9123
 894,              ,                ,               ,     13203,        2655,       5224,              ,                ,               ,    14801,       7991,      9760
 895,              ,                ,               ,     12423,        2737,       5366,              ,                ,               ,    14805,       7981,     12701
 896,              ,                ,               ,     13008,        2735,       6746,              ,                ,               ,    14809,       7975,      9374
 897,              ,                ,               ,     13711,        2705,       6630,              ,                ,               ,    14870,       8027,      9834
 898,              ,                ,               ,     13557,        2699,       6909,              ,                ,               ,    14881,       8028,      9342
 899,              ,                ,               ,     13107,        2679,       5476,              ,                ,               ,    14893,       8020,      9079
