    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  443,      5574,        1235,       2376,     6450,       3541,      3747
  444,      5559,        1233,       2325,     6474,       3548,      3670
  445,      6019,        1230,       2437,     6457,       3525,      3656
  446,      5557,        1261,       2270,     6505,       3575,      3761
  447,      5465,        1261,       2176,     6506,       3575,      3706
  448,      5372,        1244,       2222,     6525,       3577,      3713
  449,      6080,        1247,       2473,     6552,       3589,      3779
  450,      5474,        1285,       2234,     6571,       3597,      3832
  451,      5609,        1272,       2342,     6571,       3595,      3825
  452,      5791,        1293,       2321,     6594,       3612,      3824
  453,      5934,        1256,       2371,     6621,       3644,      3810
  454,      5595,        1262,       2300,     6628,       3635,      3920
  455,      6285,        1242,       2528,     6643,       3651,      3860
  456,      5786,        1255,       2418,     6669,       3666,      3889
  457,      5825,        1269,       2299,     6690,       3658,      3785
  458,      5982,        1264,       2449,     6699,       3676,      3855
  459,      5511,        1318,       2385,     6718,       3691,      3834
  460,      5697,        1299,       2306,     6751,       3701,      3908
  461,      5806,        1287,       2370,     6757,       3703,      3937
  462,      5883,        1280,       2368,     6779,       3695,      3878
  463,      5781,        1292,       2317,     6796,       3722,      3886
  464,      5712,        1294,       2342,     6817,       3731,      3858
  465,      6332,        1317,       2502,     6837,       3745,      3964
  466,      6365,        1313,       2543,     6838,       3743,      3891
  467,      5995,        1306,       2510,     6857,       3754,      3922
  468,      6177,        1316,       2465,     6877,       3764,      3912
  469,      6540,        1327,       2525,     6897,       3779,      3981
  470,      6218,        1327,       2497,     6913,       3782,      3949
  471,      6268,        1304,       2485,     6937,       3803,      3953
  472,      5670,        1332,       2311,     6933,       3785,      3959
  473,      5891,        1344,       2409,     6976,       3812,      4039
  474,      5817,        1374,       2446,     6993,       3840,      4284
  475,      6020,        1350,       2535,     6990,       3838,      3956
  476,      5782,        1373,       2506,     7007,       3840,      3977
  477,      6544,        1347,       2600,     7044,       3857,      4040
  478,      6270,        1332,       2521,     7037,       3856,      4123
  479,      6303,        1352,       2490,     7056,       3859,      3955
  480,      6089,        1360,       2518,     7088,       3876,      4007
  481,      6197,        1362,       2513,     7087,       3880,      4012
  482,      6176,        1374,       2590,     7115,       3898,      4042
  483,      6549,        1367,       2575,     7132,       3903,      4085
  484,      6540,        1386,       2612,     7144,       3909,      4242
  485,      6046,        1396,       2604,     7170,       3931,      4090
  486,      6423,        1357,       2524,     7192,       3933,      4167
